panoid,lat,lon,year,month,img_path,angle,type,img_name,conf,bbox,LLM
HL0foxS6ICjW4fvnKO2ibA,-1.227686947709012,36.91822849863206,2021,7,H/L/,180,GSVI,HL0foxS6ICjW4fvnKO2ibA_180,[0.2731073796749115],"[[288.50628662109375, 150.6368865966797, 400.0, 193.667236328125]]",1.0
HMtp_lk78AY7FCvPMpvdig,-1.294451712220113,36.84134526466603,2021,8,H/m/,90,GSVI,HMtp_lk78AY7FCvPMpvdig_90,"[0.7068328857421875, 0.5128342509269714, 0.4780420958995819]","[[110.83966827392578, 188.20101928710938, 231.1863555908203, 217.91354370117188], [258.8799743652344, 188.90020751953125, 381.5885925292969, 239.92559814453125], [258.6627502441406, 200.33236694335938, 370.83050537109375, 239.19375610351562]]",1.0
HOvLER6NrRffnzWZrcctTQ,-1.239708974833426,36.92596354827899,2021,9,H/O/,0,GSVI,HOvLER6NrRffnzWZrcctTQ_0,[0.6746225953102112],"[[0.0, 131.98878479003906, 183.6060333251953, 203.16920471191406]]",1.0
HOvLER6NrRffnzWZrcctTQ,-1.239708974833426,36.92596354827899,2021,9,H/O/,270,GSVI,HOvLER6NrRffnzWZrcctTQ_270,[0.5556251406669617],"[[305.7192077636719, 137.73829650878906, 398.2868957519531, 157.19287109375]]",1.0
HSXN07cpM_K5QCGIX25BRw,-1.301995189578848,36.89082454497467,2018,4,H/s/,0,GSVI,HSXN07cpM_K5QCGIX25BRw_0,[0.39075231552124023],"[[0.2648735046386719, 156.30697631835938, 167.86277770996094, 206.77980041503906]]",1.0
HSYxuhpe7yZ_loQ2Lc33jQ,-1.230808197170171,36.92581926440605,2018,2,H/s/,270,GSVI,HSYxuhpe7yZ_loQ2Lc33jQ_270,[0.4982109069824219],"[[54.02016067504883, 193.21923828125, 162.02911376953125, 226.02056884765625]]",1.0
HX62a9A_oN_1p1i5CrY6Tg,-1.280747404377909,36.7413897600271,2018,3,H/x/,90,GSVI,HX62a9A_oN_1p1i5CrY6Tg_90,"[0.6820250749588013, 0.3436550796031952]","[[250.2866668701172, 202.54212951660156, 387.5741271972656, 269.27923583984375], [246.8801727294922, 180.83872985839844, 394.6995544433594, 269.181640625]]",1.0
H_36lQLavRm82hSGiuq9Gg,-1.316214679015097,36.90261867821157,2018,4,H/_/,180,GSVI,H_36lQLavRm82hSGiuq9Gg_180,[0.6055939197540283],"[[308.6307373046875, 232.1740264892578, 390.5928039550781, 265.56292724609375]]",1.0
HeWpviOTswpSdPoOrhxbsQ,-1.363559862100086,36.65951996661626,2018,4,H/e/,0,GSVI,HeWpviOTswpSdPoOrhxbsQ_0,[0.6544731855392456],"[[9.577178955078125, 150.51126098632812, 390.70281982421875, 268.7087707519531]]",1.0
HeWpviOTswpSdPoOrhxbsQ,-1.363559862100086,36.65951996661626,2018,4,H/e/,90,GSVI,HeWpviOTswpSdPoOrhxbsQ_90,"[0.3439478874206543, 0.2850140929222107]","[[0.7607078552246094, 147.84207153320312, 107.11598205566406, 300.0], [166.27406311035156, 166.8693084716797, 398.66119384765625, 300.0]]",1.0
HeWpviOTswpSdPoOrhxbsQ,-1.363559862100086,36.65951996661626,2018,4,H/e/,180,GSVI,HeWpviOTswpSdPoOrhxbsQ_180,[0.7557855844497681],"[[8.74267578125, 186.98843383789062, 396.6668701171875, 299.2437438964844]]",1.0
HeWpviOTswpSdPoOrhxbsQ,-1.363559862100086,36.65951996661626,2018,4,H/e/,270,GSVI,HeWpviOTswpSdPoOrhxbsQ_270,"[0.7073713541030884, 0.6752055287361145]","[[1.0894393920898438, 166.32810974121094, 149.94837951660156, 300.0], [241.34146118164062, 164.67544555664062, 400.0, 300.0]]",1.0
HhZNNVz1N7t6Hnp6IMWV8A,-1.206426037264857,36.89654739137974,2021,9,H/H/,90,GSVI,HhZNNVz1N7t6Hnp6IMWV8A_90,[0.3630983233451843],"[[38.07075500488281, 248.38648986816406, 251.48208618164062, 299.99859619140625]]",1.0
HhuhHS-RAyb6oY_prRu57g,-1.285242676760459,36.94301722882524,2018,2,H/H/,270,GSVI,HhuhHS-RAyb6oY_prRu57g_270,[0.3458077311515808],"[[17.725858688354492, 188.8822479248047, 103.03409576416016, 298.3178405761719]]",1.0
HlSOI6IVhT-BPnzt38A4sQ,-1.209233575891471,36.89880972034587,2018,2,H/L/,270,GSVI,HlSOI6IVhT-BPnzt38A4sQ_270,[0.30828458070755005],"[[229.92141723632812, 216.51605224609375, 399.8131408691406, 299.85076904296875]]",1.0
HrR8Jo4ZG36rQpjVCotpXQ,-1.376727262042939,36.92102443244833,2021,8,H/r/,90,GSVI,HrR8Jo4ZG36rQpjVCotpXQ_90,[0.47960972785949707],"[[229.56637573242188, 224.5941162109375, 399.0457458496094, 300.0]]",1.0
Hs7vzx-1HN68EOIzuYem1Q,-1.273779947418134,36.84612788911857,2018,1,H/s/,90,GSVI,Hs7vzx-1HN68EOIzuYem1Q_90,"[0.7040375471115112, 0.47936978936195374]","[[1.1041736602783203, 232.80795288085938, 100.37025451660156, 299.67333984375], [0.6637763977050781, 196.78622436523438, 104.77151489257812, 299.7989196777344]]",1.0
I1ZJg7SHI8e9OS_9NlWKVQ,-1.285543060644646,36.88544726610332,2018,1,i/1/,0,GSVI,I1ZJg7SHI8e9OS_9NlWKVQ_0,[0.5754888653755188],"[[293.74383544921875, 217.94244384765625, 399.5009460449219, 299.45294189453125]]",1.0
IC1wzDkfmLprUhY0YsYGoQ,-1.395850243667667,36.76844097809268,2022,2,i/C/,180,GSVI,IC1wzDkfmLprUhY0YsYGoQ_180,[0.5292688608169556],"[[10.7879638671875, 175.63510131835938, 398.6429138183594, 300.0]]",1.0
IC1wzDkfmLprUhY0YsYGoQ,-1.395850243667667,36.76844097809268,2022,2,i/C/,270,GSVI,IC1wzDkfmLprUhY0YsYGoQ_270,[0.7208474278450012],"[[0.5319118499755859, 181.0619659423828, 118.015869140625, 220.66546630859375]]",1.0
IDeRQy5UwZd4GVWuH6EdKA,-1.210872464357212,36.90999060815436,2021,9,i/d/,0,GSVI,IDeRQy5UwZd4GVWuH6EdKA_0,[0.732035756111145],"[[78.47271728515625, 188.71348571777344, 144.27737426757812, 220.7078857421875]]",1.0
IEPVb35qAWgDqvpgmDZC3A,-1.216396964300335,36.89060584064487,2018,2,i/e/,90,GSVI,IEPVb35qAWgDqvpgmDZC3A_90,"[0.6089134216308594, 0.3772266209125519, 0.2507750689983368]","[[0.26935577392578125, 174.144775390625, 142.52322387695312, 253.986083984375], [162.06546020507812, 161.60057067871094, 397.83966064453125, 219.4525909423828], [79.36705017089844, 56.79975509643555, 149.3638458251953, 77.77145385742188]]",1.0
IIRxala7YoX--7pS5cLapQ,-1.207770300960629,36.87356418714222,2021,9,i/i/,0,GSVI,IIRxala7YoX--7pS5cLapQ_0,[0.6003578305244446],"[[65.68893432617188, 196.38046264648438, 400.0, 299.7954406738281]]",1.0
IMxtycRqarTaS3dvvr5N-g,-1.265197254611858,36.84545667671143,2018,2,i/m/,90,GSVI,IMxtycRqarTaS3dvvr5N-g_90,"[0.4615956246852875, 0.39677509665489197, 0.27968552708625793]","[[114.9400634765625, 165.85220336914062, 330.7497863769531, 197.4895477294922], [109.03919219970703, 163.3701171875, 400.0, 205.2041778564453], [173.8965606689453, 164.248046875, 392.8001403808594, 195.69529724121094]]",1.0
INWq9XeOJE-SqFZSJZzfyg,-1.304059774594189,36.90621895453295,2021,8,i/N/,180,GSVI,INWq9XeOJE-SqFZSJZzfyg_180,"[0.31192752718925476, 0.3033449053764343]","[[0.8194351196289062, 208.1577606201172, 138.2440643310547, 292.643310546875], [0.8253097534179688, 202.78590393066406, 134.4395751953125, 272.2691650390625]]",1.0
INld2M7ppIqGgBHQVaWIKA,-1.478696615911164,36.95486880834957,2022,3,i/N/,0,GSVI,INld2M7ppIqGgBHQVaWIKA_0,[0.8059681057929993],"[[68.97063446044922, 184.13172912597656, 198.3262939453125, 242.73585510253906]]",1.0
IRqCEFN91pXQrCy0Ru9vmw,-1.306264342637571,36.80212657737961,2018,3,i/r/,90,GSVI,IRqCEFN91pXQrCy0Ru9vmw_90,[0.4394610822200775],"[[14.140090942382812, 189.8956298828125, 109.36737060546875, 234.14283752441406]]",1.0
IXEMQ5qOosHvQEHZcDzIeg,-1.192024473920998,36.69356947925089,2022,2,i/x/,180,GSVI,IXEMQ5qOosHvQEHZcDzIeg_180,[0.2782314121723175],"[[103.45349884033203, 228.53668212890625, 157.49923706054688, 269.48681640625]]",1.0
I_c2jkfKaOGoC4FOon1jBw,-1.190787581736569,36.91108580359222,2018,2,i/_/,90,GSVI,I_c2jkfKaOGoC4FOon1jBw_90,"[0.4365600049495697, 0.372111976146698]","[[44.26272201538086, 164.18482971191406, 292.8805847167969, 253.40380859375], [165.36143493652344, 180.2301788330078, 289.43927001953125, 252.95936584472656]]",1.0
I_j1_WRVy3aiC1f7P9hoDQ,-1.286807780632077,36.89481789767829,2018,1,i/_/,90,GSVI,I_j1_WRVy3aiC1f7P9hoDQ_90,[0.2552563548088074],"[[178.97547912597656, 233.3876953125, 337.8236389160156, 300.0]]",1.0
I_udA6Fh-deKJrJl_t3WJg,-1.230160239552413,36.93004767296127,2021,9,i/_/,90,GSVI,I_udA6Fh-deKJrJl_t3WJg_90,[0.2947165369987488],"[[0.008554458618164062, 248.75885009765625, 34.26107406616211, 300.0]]",1.0
Ic6rcLMekU0nXUn0_C6xxw,-1.320202315222238,36.89928375846318,2018,4,i/C/,90,GSVI,Ic6rcLMekU0nXUn0_C6xxw_90,[0.2685181200504303],"[[1.9009971618652344, 158.7506103515625, 187.29571533203125, 270.9903564453125]]",1.0
IcE4CdDTtRzuyhlNNEO8vg,-1.221690115144771,36.97077187254621,2022,2,i/C/,0,GSVI,IcE4CdDTtRzuyhlNNEO8vg_0,[0.4257147014141083],"[[335.2250671386719, 214.84866333007812, 399.8426818847656, 298.7154846191406]]",1.0
IcE4CdDTtRzuyhlNNEO8vg,-1.221690115144771,36.97077187254621,2022,2,i/C/,90,GSVI,IcE4CdDTtRzuyhlNNEO8vg_90,"[0.5046098232269287, 0.32508015632629395, 0.2743799388408661]","[[68.89122009277344, 146.98013305664062, 135.33221435546875, 191.03907775878906], [0.40092945098876953, 223.8486328125, 54.01797866821289, 289.1895751953125], [0.206451416015625, 231.33071899414062, 42.75637435913086, 289.33013916015625]]",1.0
IjzxrmRLtwsJwGZ99xRGDQ,-1.29711571494913,36.74055107578017,2018,1,i/j/,270,GSVI,IjzxrmRLtwsJwGZ99xRGDQ_270,[0.5110063552856445],"[[269.1317443847656, 222.78536987304688, 400.0, 300.0]]",1.0
IkQ7gZ8u71Hp6cnHS_ii0w,-1.311315553655917,36.79156781373715,2021,7,i/K/,0,GSVI,IkQ7gZ8u71Hp6cnHS_ii0w_0,[0.8591799736022949],"[[3.435525894165039, 170.8164520263672, 151.74647521972656, 249.07740783691406]]",1.0
IkyPcsnSnxwUb-iKKf_M1w,-1.219100849543737,36.88832856877058,2018,2,i/K/,90,GSVI,IkyPcsnSnxwUb-iKKf_M1w_90,[0.3732311725616455],"[[13.321223258972168, 204.89059448242188, 150.37261962890625, 293.8260498046875]]",1.0
Inzaa3RkIT1cZgNjwOTigg,-1.180188442726713,36.84250742472059,2018,5,i/N/,0,GSVI,Inzaa3RkIT1cZgNjwOTigg_0,[0.5312314629554749],"[[1.3015174865722656, 0.1366710662841797, 96.24993896484375, 86.97586059570312]]",1.0
IpKvyXTYCH8_Vql_VhY2tA,-1.173975906087828,36.9065743039374,2021,9,i/P/,90,GSVI,IpKvyXTYCH8_Vql_VhY2tA_90,[0.5167744159698486],"[[187.2519989013672, 172.3002166748047, 254.05726623535156, 201.83970642089844]]",1.0
Iwg82PrWTG6FPOxUsZmEUQ,-1.247879858633168,36.89258818900119,2018,2,i/w/,90,GSVI,Iwg82PrWTG6FPOxUsZmEUQ_90,"[0.5681512951850891, 0.33712220191955566]","[[67.02003479003906, 170.54794311523438, 158.97433471679688, 223.03665161132812], [181.64329528808594, 222.31483459472656, 400.0, 298.55621337890625]]",1.0
Iwg82PrWTG6FPOxUsZmEUQ,-1.247879858633168,36.89258818900119,2018,2,i/w/,180,GSVI,Iwg82PrWTG6FPOxUsZmEUQ_180,[0.5507432222366333],"[[7.235832214355469, 172.82981872558594, 236.61936950683594, 299.05517578125]]",1.0
Ixjm3g1r3k_cU8wWQZV-4g,-1.281067188358431,36.88808466203014,2021,8,i/x/,90,GSVI,Ixjm3g1r3k_cU8wWQZV-4g_90,[0.319023460149765],"[[174.40463256835938, 189.0679168701172, 399.1701965332031, 294.1985168457031]]",1.0
J12KkbGhtsKWxRHp0vyU5Q,-1.217652586423786,36.89503896922339,2018,2,j/1/,0,GSVI,J12KkbGhtsKWxRHp0vyU5Q_0,[0.7332514524459839],"[[273.970703125, 183.74118041992188, 368.08447265625, 221.06455993652344]]",1.0
J6umIv-6ZdSxdvhvohfUrw,-1.285348127604288,36.95452812407446,2021,8,j/6/,90,GSVI,J6umIv-6ZdSxdvhvohfUrw_90,[0.8765096068382263],"[[108.03015899658203, 190.09414672851562, 242.7507781982422, 271.36431884765625]]",1.0
J8UghIeTOGfUNXA1vwo6aQ,-1.262769043828592,36.91843670228957,2018,1,j/8/,270,GSVI,J8UghIeTOGfUNXA1vwo6aQ_270,"[0.81278395652771, 0.3449500799179077]","[[274.5467529296875, 207.9423065185547, 399.74310302734375, 298.7103271484375], [170.32899475097656, 156.8328857421875, 252.9054412841797, 223.34750366210938]]",1.0
J8aHlsoFOep-KGOAIoXxgg,-1.283956078259714,36.73093081568772,2017,12,j/8/,90,GSVI,J8aHlsoFOep-KGOAIoXxgg_90,[0.6337867379188538],"[[2.7177047729492188, 203.88389587402344, 88.77163696289062, 254.50416564941406]]",1.0
J9ae8UjAO634AFNaqYspHQ,-1.271410204107958,36.85247306517013,2018,1,j/9/,180,GSVI,J9ae8UjAO634AFNaqYspHQ_180,[0.4714092016220093],"[[256.16119384765625, 234.2001953125, 399.9263000488281, 299.9234619140625]]",1.0
JAPL_5NKiFvwXofRL-T84g,-1.299443160234231,36.89453298192147,2021,7,j/a/,180,GSVI,JAPL_5NKiFvwXofRL-T84g_180,[0.6792910099029541],"[[207.0764923095703, 182.222900390625, 344.64019775390625, 232.89505004882812]]",1.0
JB4E9_oc7Gs1snk_E3SrQQ,-1.469239068541754,36.95567709696635,2022,3,j/B/,90,GSVI,JB4E9_oc7Gs1snk_E3SrQQ_90,[0.37267497181892395],"[[271.4459228515625, 173.01071166992188, 341.87396240234375, 218.43264770507812]]",1.0
JCfzq5ermI4-X1XgGc2oQQ,-1.163979461118412,36.95901773169694,2018,5,j/C/,270,GSVI,JCfzq5ermI4-X1XgGc2oQQ_270,"[0.5920766592025757, 0.35644426941871643, 0.34389397501945496]","[[179.70347595214844, 212.2017822265625, 398.0998229980469, 300.0], [184.6289825439453, 210.42037963867188, 338.9506530761719, 300.0], [38.431888580322266, 221.7625274658203, 142.9138946533203, 262.7733459472656]]",1.0
JE4DgdggynGJyvcwWsh36g,-1.320456774204395,36.89799538841703,2021,7,j/e/,0,GSVI,JE4DgdggynGJyvcwWsh36g_0,[0.4028116464614868],"[[308.06915283203125, 0.0, 399.5393371582031, 109.79806518554688]]",1.0
JFf2YEHsNZ0-7kyhbP8OsQ,-1.286293161256925,36.82738477326325,2021,8,j/f/,180,GSVI,JFf2YEHsNZ0-7kyhbP8OsQ_180,[0.7624214291572571],"[[123.0405502319336, 173.59878540039062, 398.5943603515625, 298.9658203125]]",1.0
JFf2YEHsNZ0-7kyhbP8OsQ,-1.286293161256925,36.82738477326325,2021,8,j/f/,270,GSVI,JFf2YEHsNZ0-7kyhbP8OsQ_270,[0.28002017736434937],"[[0.0, 232.43484497070312, 276.16302490234375, 299.4316711425781]]",1.0
JGycwMmaXiglW01_eFfmvw,-1.25539580578605,36.87448385686715,2021,8,j/g/,270,GSVI,JGycwMmaXiglW01_eFfmvw_270,[0.30920174717903137],"[[76.2899398803711, 170.64051818847656, 399.7003479003906, 291.4546813964844]]",1.0
JJmKug6sTTOEVpzZn3UtnQ,-1.189952113089721,36.89167309519696,2018,2,j/j/,0,GSVI,JJmKug6sTTOEVpzZn3UtnQ_0,"[0.4191225469112396, 0.2697288990020752]","[[285.44976806640625, 211.88243103027344, 400.0, 291.4063720703125], [261.77435302734375, 181.8059539794922, 400.0, 258.87091064453125]]",1.0
JKrL23G0af98exmzSAzYAQ,-1.211075697880604,36.9202898364523,2021,9,j/K/,90,GSVI,JKrL23G0af98exmzSAzYAQ_90,[0.7413069009780884],"[[243.43003845214844, 185.2323455810547, 399.8533630371094, 300.0]]",1.0
JKrL23G0af98exmzSAzYAQ,-1.211075697880604,36.9202898364523,2021,9,j/K/,180,GSVI,JKrL23G0af98exmzSAzYAQ_180,"[0.6431070566177368, 0.39264655113220215]","[[0.0, 205.97496032714844, 51.18878173828125, 298.8988342285156], [90.27828979492188, 193.1798553466797, 250.8653564453125, 299.0880126953125]]",1.0
JSQ5T5iuZ1CcEaf_wZMSzg,-1.159237951663237,36.94346588720254,2021,12,j/s/,90,GSVI,JSQ5T5iuZ1CcEaf_wZMSzg_90,[0.613622784614563],"[[41.478538513183594, 230.4785919189453, 400.0, 298.99053955078125]]",1.0
JSQ5T5iuZ1CcEaf_wZMSzg,-1.159237951663237,36.94346588720254,2021,12,j/s/,180,GSVI,JSQ5T5iuZ1CcEaf_wZMSzg_180,[0.2704050540924072],"[[0.0, 242.91940307617188, 192.41119384765625, 300.0]]",1.0
JUDUWk4sHh43aH-9hSVJEA,-1.26117954177298,36.93306222643296,2021,8,j/U/,270,GSVI,JUDUWk4sHh43aH-9hSVJEA_270,[0.35483118891716003],"[[0.0, 270.100830078125, 182.17367553710938, 299.9518737792969]]",1.0
JYxwkH4hM466tstku6tofQ,-1.278356020086621,37.03574939065006,2021,10,j/y/,90,GSVI,JYxwkH4hM466tstku6tofQ_90,[0.33313965797424316],"[[267.01751708984375, 163.84783935546875, 400.0, 254.61817932128906]]",1.0
JYxwkH4hM466tstku6tofQ,-1.278356020086621,37.03574939065006,2021,10,j/y/,180,GSVI,JYxwkH4hM466tstku6tofQ_180,"[0.7479937672615051, 0.5710243582725525, 0.35374850034713745]","[[0.0, 177.744140625, 279.3387451171875, 260.0450439453125], [7.818870544433594, 178.09840393066406, 400.0, 259.239013671875], [67.61483764648438, 187.12806701660156, 277.8612365722656, 257.1201171875]]",1.0
JZyD5AH6kFeolV7N5jYt7Q,-1.234716624154445,36.93221727159928,2021,7,j/Z/,0,GSVI,JZyD5AH6kFeolV7N5jYt7Q_0,"[0.4714915454387665, 0.27758169174194336]","[[0.7861042022705078, 152.55677795410156, 145.7584991455078, 217.84890747070312], [0.0, 153.16798400878906, 196.1702880859375, 220.8013153076172]]",1.0
J_hQt6BgP798CrP_UZW4TA,-1.259878385291374,36.93114986859524,2018,2,j/_/,180,GSVI,J_hQt6BgP798CrP_UZW4TA_180,[0.6026924848556519],"[[195.0446319580078, 202.2691650390625, 399.891357421875, 299.9508972167969]]",1.0
JdDkiLYNl93nJE8cu6SXIg,-1.260258547469526,36.87016580761075,2018,2,j/d/,270,GSVI,JdDkiLYNl93nJE8cu6SXIg_270,[0.29943737387657166],"[[1.4169883728027344, 232.84815979003906, 118.64118194580078, 299.1951599121094]]",1.0
JiubMd7Cv9LhYVunh7w2OA,-1.313446187788027,36.84978939541373,2021,8,j/i/,90,GSVI,JiubMd7Cv9LhYVunh7w2OA_90,"[0.45799973607063293, 0.3405953645706177]","[[77.01359558105469, 165.16510009765625, 274.7662353515625, 300.0], [322.8065490722656, 263.488525390625, 399.52880859375, 300.0]]",1.0
Jiw6kgXTP5tGEq2hXXsCdQ,-1.251879683830077,36.87112541426078,2021,8,j/i/,270,GSVI,Jiw6kgXTP5tGEq2hXXsCdQ_270,[0.5846784710884094],"[[226.74624633789062, 187.71011352539062, 395.79364013671875, 261.9831848144531]]",1.0
JobSHy3u4Gu6fNfuAwsqrw,-1.288477880830524,36.84641126800447,2018,1,j/O/,0,GSVI,JobSHy3u4Gu6fNfuAwsqrw_0,"[0.5977687835693359, 0.5680596828460693, 0.3908798396587372]","[[0.0, 177.96669006347656, 311.85882568359375, 225.12939453125], [0.0, 175.17779541015625, 222.5874481201172, 214.91928100585938], [85.55386352539062, 183.05641174316406, 304.854248046875, 225.55870056152344]]",1.0
Jsc5E_KJo-kcdQRRZObNSA,-1.25552782358479,36.8830288313489,2018,2,j/s/,0,GSVI,Jsc5E_KJo-kcdQRRZObNSA_0,[0.782849133014679],"[[1.8994712829589844, 190.8521270751953, 291.4603271484375, 300.0]]",1.0
JtHPBjaJq-3yUWZiv14CRw,-1.208222153702784,36.93020966509894,2021,9,j/t/,180,GSVI,JtHPBjaJq-3yUWZiv14CRw_180,[0.8436177968978882],"[[3.9156532287597656, 196.27944946289062, 248.29664611816406, 300.0]]",1.0
JujSfqy5rwdV7kZ4_-seVw,-1.210525352574936,36.92862261884278,2021,9,j/U/,270,GSVI,JujSfqy5rwdV7kZ4_-seVw_270,[0.5133929252624512],"[[115.48164367675781, 223.0708465576172, 180.4603729248047, 269.5122985839844]]",1.0
JvylOILhxZTgGtHxK9YcvA,-1.173523682362458,36.9108036583949,2018,2,j/v/,0,GSVI,JvylOILhxZTgGtHxK9YcvA_0,[0.736341655254364],"[[131.88800048828125, 215.4065704345703, 302.7621154785156, 299.85137939453125]]",1.0
Jyhy2ROxqxt-Rqzgw6Q4jQ,-1.247651464399476,36.8914193518058,2018,2,j/y/,180,GSVI,Jyhy2ROxqxt-Rqzgw6Q4jQ_180,"[0.37119060754776, 0.3567129075527191, 0.2870101034641266]","[[0.0, 183.1058807373047, 80.1396484375, 299.66717529296875], [0.5116558074951172, 184.03857421875, 78.1214828491211, 232.42343139648438], [0.31060218811035156, 183.8642120361328, 78.08497619628906, 258.80401611328125]]",1.0
K6pUSUKBHDfuwTEUUF69TA,-1.333394913653026,36.87116514449721,2021,7,K/6/,90,GSVI,K6pUSUKBHDfuwTEUUF69TA_90,[0.6261933445930481],"[[212.78384399414062, 155.82803344726562, 400.0, 297.0865478515625]]",1.0
K6pUSUKBHDfuwTEUUF69TA,-1.333394913653026,36.87116514449721,2021,7,K/6/,180,GSVI,K6pUSUKBHDfuwTEUUF69TA_180,[0.6434319019317627],"[[3.0434036254882812, 155.65582275390625, 400.0, 298.0389099121094]]",1.0
K96M0K8sw4spzuhE80nLSQ,-1.242774564458072,36.91352251170563,2018,2,K/9/,90,GSVI,K96M0K8sw4spzuhE80nLSQ_90,[0.7101361751556396],"[[212.58079528808594, 208.5150146484375, 395.20086669921875, 293.96832275390625]]",1.0
KCfkbxmX-f_jV7cs2xIhyA,-1.315668083787879,36.8015366365093,2018,3,K/C/,90,GSVI,KCfkbxmX-f_jV7cs2xIhyA_90,[0.5556962490081787],"[[4.384193420410156, 188.99485778808594, 177.53677368164062, 300.0]]",1.0
KDlJ4wf204P9zUEyojzx7w,-1.262197328166929,36.80354159463081,2018,5,K/d/,90,GSVI,KDlJ4wf204P9zUEyojzx7w_90,[0.5139705538749695],"[[68.55062103271484, 158.14173889160156, 241.86155700683594, 255.29063415527344]]",1.0
KEMst6fh91YMdiu9qxG7Mw,-1.283332995885833,36.88857198229445,2021,8,K/e/,270,GSVI,KEMst6fh91YMdiu9qxG7Mw_270,[0.6266489028930664],"[[219.77340698242188, 104.87340545654297, 392.6274108886719, 127.94320678710938]]",1.0
KFFXSI6ksJaOQS3ABaBkdA,-1.206113352538871,36.78404242194279,2021,9,K/f/,180,GSVI,KFFXSI6ksJaOQS3ABaBkdA_180,[0.6333285570144653],"[[247.94378662109375, 220.087890625, 396.6171875, 276.4391174316406]]",1.0
KIovDZAjnvUVHHNuv20dDA,-1.159317175986302,36.9426491809307,2021,12,K/i/,180,GSVI,KIovDZAjnvUVHHNuv20dDA_180,[0.8149446845054626],"[[34.32665252685547, 207.399169921875, 164.20462036132812, 299.55548095703125]]",1.0
KJ0Wi7mkbzLSoiztDo4z8A,-1.267595325439727,36.84369338063878,2018,2,K/j/,180,GSVI,KJ0Wi7mkbzLSoiztDo4z8A_180,[0.7568535804748535],"[[19.784202575683594, 194.76710510253906, 357.0714111328125, 299.4681091308594]]",1.0
KMnvEySkZhuQ4UVoruJslg,-1.232599607858075,36.92149709657736,2018,2,K/m/,90,GSVI,KMnvEySkZhuQ4UVoruJslg_90,"[0.5980990529060364, 0.32078471779823303]","[[1.3869094848632812, 239.46734619140625, 315.3874206542969, 300.0], [4.419384002685547, 215.064697265625, 318.0536804199219, 300.0]]",1.0
KO3Z6fjpGH5Wl9dg4CqkYw,-1.202654907073784,36.90907048038856,2018,2,K/O/,270,GSVI,KO3Z6fjpGH5Wl9dg4CqkYw_270,[0.31886500120162964],"[[46.41054153442383, 234.71331787109375, 196.97958374023438, 299.8977966308594]]",1.0
KOLMTNiH_BpRoaKN_BokRg,-1.318477358278928,36.86136360316907,2018,1,K/O/,270,GSVI,KOLMTNiH_BpRoaKN_BokRg_270,[0.4734126925468445],"[[2.487955093383789, 152.71446228027344, 140.9445037841797, 188.4673309326172]]",1.0
KRKWN0hXVrl5-riMazQnVQ,-1.247135997503391,36.90229325881347,2018,2,K/r/,180,GSVI,KRKWN0hXVrl5-riMazQnVQ_180,[0.6895610690116882],"[[204.066650390625, 150.1949005126953, 397.6414794921875, 198.8738555908203]]",1.0
KRKWN0hXVrl5-riMazQnVQ,-1.247135997503391,36.90229325881347,2018,2,K/r/,270,GSVI,KRKWN0hXVrl5-riMazQnVQ_270,[0.8187857270240784],"[[2.7325820922851562, 148.71859741210938, 237.25021362304688, 259.5301513671875]]",1.0
KUbdvKkw4N4ALTv9wnHyQw,-1.277365997067867,36.82721302660315,2018,2,K/U/,0,GSVI,KUbdvKkw4N4ALTv9wnHyQw_0,[0.7354791760444641],"[[228.12957763671875, 207.69541931152344, 399.2958068847656, 300.0]]",1.0
Kc-rQgs7yQnMGNmQIhooAQ,-1.231740721171106,36.92565045437487,2021,7,K/C/,180,GSVI,Kc-rQgs7yQnMGNmQIhooAQ_180,[0.843712568283081],"[[251.08180236816406, 215.4151153564453, 398.8318176269531, 261.039794921875]]",1.0
Kc-rQgs7yQnMGNmQIhooAQ,-1.231740721171106,36.92565045437487,2021,7,K/C/,270,GSVI,Kc-rQgs7yQnMGNmQIhooAQ_270,[0.6360697150230408],"[[0.9966278076171875, 205.05824279785156, 99.76750946044922, 260.1470031738281]]",1.0
KfwvJR3YoRtlGOBRFf4QUg,-1.349322196497989,36.93352980984849,2021,8,K/f/,270,GSVI,KfwvJR3YoRtlGOBRFf4QUg_270,[0.6935500502586365],"[[219.04910278320312, 193.0609893798828, 334.9395446777344, 228.4278106689453]]",1.0
Kk2zdTgeNEquWTNwV2RDCA,-1.275033369242285,36.94464061942315,2021,8,K/K/,180,GSVI,Kk2zdTgeNEquWTNwV2RDCA_180,[0.4265386760234833],"[[3.631925582885742, 229.926025390625, 105.9566879272461, 281.4185791015625]]",1.0
Kn8YO2V_8Id91RgdKScMdA,-1.209682208476555,36.93173540840694,2021,9,K/N/,270,GSVI,Kn8YO2V_8Id91RgdKScMdA_270,[0.8340542912483215],"[[1.6542816162109375, 181.49559020996094, 277.26910400390625, 268.29290771484375]]",1.0
KwHUWnbSwCP5OOt2xRiK_w,-1.379608877805627,36.94099163035748,2021,8,K/w/,270,GSVI,KwHUWnbSwCP5OOt2xRiK_w_270,[0.5143537521362305],"[[72.90274047851562, 183.35533142089844, 159.72467041015625, 228.63925170898438]]",1.0
