lat,lon,sub_county,ward,feature,garbage/garbage_type,garbage/garbage_ownership,_capture_the_location_precision,garbage/other_garbage_type,garbage/other_garbage_ownership,comments,description,combined_description
-1.2715068,36.8322526,Starehe,Ngara,garbage point,holding ground,public land,4.6,,,,,
-1.2713815,36.7466516,Westlands,Mountain View,garbage point,illegal dumping,public land,1.716,,,,,
-1.271058,36.7483622,Westlands,Mountain View,garbage point,illegal dumping,public land,3.744,,,Clear illegal dumping through sensitization and enforcement,,Clear illegal dumping through sensitization and enforcement
-1.2708565,36.923983,Embakasi Central,Kayole North,garbage point,collection point,public land,4.9,,,The area is a good holding point for waste from across the subcounty,The area is a good holding point for waste from across the subcounty,The area is a good holding point for waste from across the subcounty
-1.2707918,36.7493012,Westlands,Mountain View,garbage point,illegal dumping,public land,4.228,,,,,
-1.270506,36.8923014,Embakasi West,Mowlem,garbage point,holding ground,public land,7.88,,,,,
-1.269929,36.7492866,Westlands,Mountain View,garbage point,illegal dumping,public land,4.325,,,,,
-1.2696338,36.7498136,Westlands,Mountain View,garbage point,illegal dumping,public land,4.1,,,,,
-1.2685683,36.8942205,Embakasi West,Mowlem,garbage point,holding ground,other,11.575,,estate road side,This holding point makes the place to smell so bad,,This holding point makes the place to smell so bad
-1.2684499,36.7485108,Westlands,Mountain View,garbage point,illegal dumping,public land,4.6,,,,,
-1.268234,36.991321,Kasarani,Ruai,garbage point,illegal dumping,private,4.72,,,,,
-1.2677658,36.8898399,Embakasi West,Mowlem,garbage point,illegal dumping,public land,4.36,,,Adversely affecting the community,,Adversely affecting the community
-1.267265,36.8914001,Embakasi West,Mowlem,garbage point,illegal dumping,public land,4.88,,,,,
-1.2671017,36.8970867,Embakasi West,Mowlem,garbage point,holding ground,other,4.05,,roadside,,roadside,roadside
-1.2668533,36.8917227,Embakasi West,Mowlem,garbage point,holding ground,public land,4.283,,,,,
-1.2660823,36.8495484,Mathare,Mlango Kubwa,garbage point,collection point,public land,3.97,,,It's along the road,,It's along the road
-1.2658973,36.8036383,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.2658033,36.8959999,Embakasi West,Mowlem,garbage point,holding ground,other,4.05,,roadside,,roadside,roadside
-1.2657041,36.8926873,Embakasi West,Mowlem,garbage point,holding ground,public land,4.6,,,,,
-1.2655651,36.8927449,Embakasi West,Mowlem,garbage point,illegal dumping,public land,3.9,,,,,
-1.2655541,36.7319662,Westlands,Mountain View,garbage point,illegal dumping,public land,4.987,,,,,
-1.2653798,36.8960844,Embakasi West,Mowlem,garbage point,holding ground,other,4.44,,road reserves,,road reserves,road reserves
-1.2648678,36.8286313,Westlands,Karura,garbage point,collection point,public land,1.935,,,When filled it's always collected,,When filled it's always collected
-1.2648432,36.8051832,Westlands,Parklands/Highridge,garbage point,collection point,private,4.774,,,Owned by Gentleman's Club,Owned by Gentleman's Club,Owned by Gentleman's Club
-1.2647955,36.8956402,Embakasi West,Mowlem,garbage point,illegal dumping,public land,4.683,,,,,
-1.2647767,36.89563,Embakasi West,Mowlem,garbage point,holding ground,public land,3.9,,,,,
-1.2646933,36.89556,Embakasi West,Mowlem,garbage point,holding ground,public land,4.8,,,,,
-1.2645188,36.801868,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.2645124,36.7482558,Westlands,Kangemi,garbage point,holding ground,public land,4.466,,,,,
-1.2644987,36.7493307,Westlands,Kangemi,garbage point,illegal dumping,public land,4.014,,,,,
-1.2643758,36.8022771,Westlands,Parklands/Highridge,garbage point,bin,public land,4.74,,,,,
-1.2643655,36.8061025,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.2643534,36.806041,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.264347,36.853016,Mathare,Mlango Kubwa,garbage point,illegal dumping,other,10.087,,illegal dumping by non compliant cbos,Illegal dumping site to be closed,,Illegal dumping site to be closed
-1.2642668,36.7474526,Westlands,Kangemi,garbage point,illegal dumping,public land,4.1,,,,,
-1.2642321,36.8796347,Embakasi West,Kariobangi,garbage point,illegal dumping,public land,6.5,,,,,
-1.2640979,36.8078478,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.78,,,,,
-1.2638393,36.7291608,Westlands,Mountain View,garbage point,collection point,public land,4.516,,,,,
-1.2637589,36.8939922,Embakasi West,Mowlem,garbage point,holding ground,public land,4.84,,,,,
-1.2637078,36.8076772,Westlands,Parklands/Highridge,garbage point,other,private,4.9,Material Recovery Facility,,,,
-1.2637033,36.8078105,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.2636715,36.8163487,Westlands,Parklands/Highridge,garbage point,collection point,public land,4.9,,,,,
-1.2634885,36.8163621,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.996,,,,,
-1.2632427,36.8066847,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.2632227,36.8947822,Embakasi West,Mowlem,garbage point,holding ground,public land,4.84,,,,,
-1.2631317,36.9095446,Embakasi Central,Komarock,garbage point,illegal dumping,private,4.546,,,Measures are in place to cub the illegal dumping but no success yet,,Measures are in place to cub the illegal dumping but no success yet
-1.2629185,36.8258686,Westlands,Karura,garbage point,bin,private,4.818,,,Frequently emptied,,Frequently emptied
-1.2629124,36.8284709,Westlands,Karura,garbage point,bin,public land,1.302,,,It controls illegal dumping,,It controls illegal dumping
-1.2623178,36.8943004,Embakasi West,Mowlem,garbage point,holding ground,public land,4.9,,,,,
-1.2621216,36.88243,Embakasi North,Kariobangi North,garbage point,illegal dumping,other,4.637,,besides the river bank,"Illegal dumping is a menace, sensitization and creation of awareness to be intensified to curb illegal dumping esp on our water catchment areas",,"Illegal dumping is a menace, sensitization and creation of awareness to be intensified to curb illegal dumping esp on our water catchment areas"
-1.2621119,36.826925,Westlands,Karura,garbage point,collection point,public land,2.228,,,Garbage is collected frequently,,Garbage is collected frequently
-1.26204,36.8835639,Embakasi West,Kariobangi,garbage point,illegal dumping,public land,4.0,,,,,
-1.2607632,36.7121977,Dagoretti South,Uthiru/Ruthimitu,garbage point,holding ground,public land,3.5,,,,,
-1.2602614,36.8840281,Ruaraka,Korogocho,garbage point,holding ground,community,2.36,,,timely garbage collection needed,,timely garbage collection needed
-1.2599769,36.8720044,Mathare,Huruma,garbage point,collection point,public land,4.931,,,,,
-1.259897,36.87202,Mathare,Ngei,garbage point,collection point,public land,4.264,,,,,
-1.2598909,36.8617032,Ruaraka,Utalii,garbage point,illegal dumping,public land,4.453,,,the community members were requesting if they can be given these as a collection point,,the community members were requesting if they can be given these as a collection point
-1.2589289,36.8619727,Ruaraka,Utalii,garbage point,illegal dumping,public land,4.794,,,,,
-1.2588185,36.8755855,Mathare,Kiamaiko,garbage point,collection point,public land,3.85,,,,,
-1.2585616,36.8174886,Westlands,Parklands/Highridge,garbage point,holding ground,private,4.384,,,Majorly holds organic waste from the market,,Majorly holds organic waste from the market
-1.2579407,36.8632002,Ruaraka,Utalii,garbage point,illegal dumping,community,4.043,,,,,
-1.2576104,36.8241615,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.2574846,36.8157753,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.054,,,,,
-1.2571178,36.8670509,Mathare,Ngei,garbage point,illegal dumping,public land,4.451,,,,,
-1.2565195,36.8653699,Ruaraka,Mathare North,garbage point,illegal dumping,other,4.36,,riparian reserve,,,
-1.2564786,36.9280428,Embakasi Central,Matopeni/ Spring Valley,garbage point,illegal dumping,public land,4.911,,,The illegal dumping is along Spring valley/Matopeni Canal,,The illegal dumping is along Spring valley/Matopeni Canal
-1.2563627,36.8644917,Ruaraka,Utalii,garbage point,collection point,public land,3.844,,,,,
-1.2563213,36.9305049,Embakasi Central,Matopeni/ Spring Valley,garbage point,illegal dumping,public land,4.325,,,,,
-1.2560902,36.8717668,Mathare,Huruma,garbage point,collection point,public land,3.858,,,,,
-1.2556586,36.8827745,Embakasi North,Kariobangi North,garbage point,holding ground,other,4.805,,roadside,Requires prompt collection and getting an alternative holding/collection point,,Requires prompt collection and getting an alternative holding/collection point
-1.255025,36.8126527,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,5.176,,,,,
-1.2549979,36.812414,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.386,,,,,
-1.2549464,36.8110217,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.2548361,36.8128613,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.2545723,36.8688114,Ruaraka,Mathare North,garbage point,collection point,public land,4.704,,,,,
-1.2544562,36.8137,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.2544316,36.8142671,Westlands,Parklands/Highridge,garbage point,illegal dumping,public land,4.9,,,,,
-1.2538689,36.8148307,Westlands,Parklands/Highridge,garbage point,collection point,public land,4.597,,,,,
-1.2537296,36.9173243,Kasarani,Njiru,garbage point,collection point,public land,2.816,,,,,
-1.2536089,36.8702433,Ruaraka,Mathare North,garbage point,collection point,public land,4.709,,,,,
-1.2525338,36.8812655,Embakasi North,Kariobangi North,garbage point,holding ground,other,3.878,,roadside,"Not a good site, unhealthy and would require prompt collection on a regular basis",,"Not a good site, unhealthy and would require prompt collection on a regular basis"
-1.251933,36.8871655,Ruaraka,Korogocho,garbage point,illegal dumping,public land,4.7,,,,,
-1.2516418,36.8748313,Ruaraka,Mathare North,garbage point,collection point,public land,3.859,,,area 1,,area 1
-1.2514447,36.8697621,Ruaraka,Utalii,garbage point,collection point,public land,4.114,,,,,
-1.2512006,36.9034719,Embakasi North,Dandora Area III,garbage point,collection point,private,2.95,,,,,
-1.2510138,36.9043427,Embakasi North,Dandora Area III,garbage point,illegal dumping,other,4.7,,along cllr opudo road,Waste to be cleared and monitoring and enforcement to be continued,along cllr opudo road,along cllr opudo road | Waste to be cleared and monitoring and enforcement to be continued
-1.2488711,36.8839217,Ruaraka,Korogocho,garbage point,collection point,public land,4.9,,,in good condition,,in good condition
-1.2487177,36.8855987,Ruaraka,Babadogo,garbage point,illegal dumping,public land,3.43,,,not good,,not good
-1.2485817,36.9452734,Kasarani,Njiru,garbage point,collection point,public land,3.7,,,,,
-1.247923,36.8927516,Ruaraka,Korogocho,garbage point,illegal dumping,public land,4.625,,,,,
-1.2467283,36.9051687,Embakasi North,Dandora Area III,garbage point,illegal dumping,other,3.99,,along tom mboya primary school perimeter wall,Illegal dumping should be eliminated,along tom mboya primary school perimeter wall,along tom mboya primary school perimeter wall | Illegal dumping should be eliminated
-1.2462212,36.9040728,Embakasi North,Dandora Area III,garbage point,other,other,2.4,Illegal dumping and burning of waste,along john osogo road,Garbage to be cleared and awareness creation and enforcement,along john osogo road,along john osogo road | Garbage to be cleared and awareness creation and enforcement
-1.2461571,36.9042166,Embakasi North,Dandora Area III,garbage point,illegal dumping,other,3.2,,along john osogo road,Garbage to be cleared and monitoring and enforcement to continue,along john osogo road,along john osogo road | Garbage to be cleared and monitoring and enforcement to continue
-1.2459867,36.9056418,Embakasi North,Dandora Area III,garbage point,illegal dumping,other,4.976,,near dandora stadium entrance,Dumping should be cleared and monitoring/enforcement to be continued,near dandora stadium entrance,near dandora stadium entrance | Dumping should be cleared and monitoring/enforcement to be continued
-1.2459695,36.904452,Embakasi North,Dandora Area III,garbage point,illegal dumping,other,4.965,,along john osogo road,Garbage to be cleared and monitoring and enforcement to be continued,along john osogo road,along john osogo road | Garbage to be cleared and monitoring and enforcement to be continued
-1.2457254,36.8681935,Ruaraka,Babadogo,garbage point,illegal dumping,other,4.972,,road reserve,,,
-1.245662,36.8886906,Ruaraka,Babadogo,garbage point,illegal dumping,private,3.43,,,glucola,,glucola
-1.2451182,36.9052058,Embakasi North,Dandora Area III,garbage point,bin,other,3.4,,dandora stadium,,,
-1.245047,36.8680817,Ruaraka,Babadogo,garbage point,illegal dumping,other,4.363,,under a foot bridge,,,
-1.2450083,36.8681046,Ruaraka,Babadogo,garbage point,illegal dumping,public land,4.466,,,bad shape,,bad shape
-1.2447516,36.9053769,Embakasi North,Dandora Area III,garbage point,bin,other,2.566,,dandora stadium,,,
-1.2446643,36.8956776,Ruaraka,Korogocho,garbage point,holding ground,community,4.975,,,,,
-1.2445547,36.8959386,Ruaraka,Korogocho,garbage point,illegal dumping,public land,3.883,,,,,
-1.2440134,36.8961081,Ruaraka,Korogocho,garbage point,other,public land,4.5,Untreated discharge into the river,,,,
-1.2414209,36.8828418,Ruaraka,Babadogo,garbage point,illegal dumping,public land,3.859,,,laundry next to tread setters,,laundry next to tread setters
-1.2411533,36.8783948,Ruaraka,Babadogo,garbage point,collection point,public land,4.931,,,good,,good
-1.2402372,36.9344579,Kasarani,Mwiki,garbage point,collection point,private,4.875,,,,,
-1.2250123,36.8834075,Roysambu,Roysambu,garbage point,holding ground,private,4.866,,,,,
-1.2250014,36.8826249,Starehe,Ziwani/ Kariokor,garbage point,bin,private,4.9,,,Its in good condition,,Its in good condition
-1.2249867,36.8831184,Starehe,Landimawe,garbage point,bin,private,48.249,,,Helps keep the environment litter-free.,,Helps keep the environment litter-free.
-1.2249642,36.8832399,Kibra,Woodley/Kenyatta Golf Course,garbage point,illegal dumping,public land,4.666,,,,,
-1.2249504,36.8826902,Dagoretti North,Gatina,garbage point,bin,public land,3.214,,,,,
-1.2249247,36.8831825,Westlands,Parklands/Highridge,garbage point,bin,private,0.901,,,"Good to go
",,"Good to go
"
-1.2249195,36.8826151,Kibra,Woodley/Kenyatta Golf Course,garbage point,bin,public land,4.997,,,,,
-1.224918,36.8826117,Embakasi Central,Komarock,garbage point,bin,private,3.375,,,,,
-1.2249018,36.8827493,Kamukunji,Airbase,garbage point,bin,private,4.613,,,Great,,Great
-1.2248981,36.8826214,Embakasi East,Lower Savanna,garbage point,bin,private,9.86,,,Very well,,Very well
-1.2248936,36.8826693,Roysambu,Garden Estate,garbage point,bin,private,4.8,,,neat,,neat
-1.2248887,36.8826315,Embakasi Central,Komarock,garbage point,bin,private,4.814,,,Properly placed,,Properly placed
-1.224886,36.8826366,Starehe,Nairobi Central,garbage point,bin,private,6.166,,,Well maintained,,Well maintained
-1.2248837,36.8825889,Roysambu,Roysambu,garbage point,bin,private,4.833,,,collection is well done,,collection is well done
-1.2248799,36.882662,Embakasi North,Dandora Area IV,garbage point,bin,private,4.4,,,The bin is clean.,,The bin is clean.
-1.2248754,36.8827031,Roysambu,Roysambu,garbage point,bin,private,4.45,,,well maintained,,well maintained
-1.2248737,36.8826808,Kasarani,Njiru,garbage point,bin,community,4.825,,,Private,,Private
-1.2248675,36.8826285,Roysambu,Roysambu,garbage point,bin,private,4.716,,,,,
-1.2248668,36.8827205,Starehe,Nairobi Central,garbage point,holding ground,private,4.76,,,,,
-1.224866,36.882686,Embakasi East,Embakasi,garbage point,bin,private,4.14,,,,,
-1.2248647,36.8826555,Kibra,Makina,garbage point,bin,private,6.0,,,,,
-1.224863,36.8827121,Embakasi South,Pipeline,garbage point,bin,private,4.633,,,Very nice to use,,Very nice to use
-1.2248364,36.8826611,Roysambu,Roysambu,garbage point,collection point,private,4.764,,,alright,,alright
-1.2248162,36.8825423,Ruaraka,Mathare North,garbage point,bin,private,4.462,,,the bin is well placed,,the bin is well placed
-1.2237755,36.8826562,Roysambu,Roysambu,garbage point,bin,private,3.068,,,improve on waste segregation,,improve on waste segregation
-1.2237655,36.882459,Embakasi West,Umoja I,garbage point,bin,private,3.74,,,Well placed in strategic place.,,Well placed in strategic place.
-1.2237436,36.882805,Roysambu,Roysambu,garbage point,bin,private,4.974,,,strategically placed,,strategically placed
-1.2237211,36.8825023,Lang'ata,Karen,garbage point,bin,private,3.663,,,,,
-1.2237206,36.8825131,Dagoretti South,Riruta,garbage point,holding ground,community,4.049,,,No waste segregation at the point,No waste segregation at the point,No waste segregation at the point
-1.2237196,36.8824665,Starehe,Ngara,garbage point,bin,community,4.11,,,,,
-1.2236955,36.8825261,Lang'ata,Otiende,garbage point,illegal dumping,public land,3.98,,,estimated 200 loads,,estimated 200 loads
-1.2236882,36.8825808,Kamukunji,Eastleigh North,garbage point,holding ground,public land,3.798,,,,,
-1.2236684,36.8825173,Roysambu,Githurai,garbage point,collection point,private,4.7,,,,,
-1.2236645,36.8834955,Roysambu,Roysambu,garbage point,bin,private,4.1,,,,,
-1.2236557,36.8825109,Kamukunji,Pumwani,garbage point,illegal dumping,public land,4.099,,,Needs to be closed down,,Needs to be closed down
-1.2236543,36.8825406,Mathare,Kiamaiko,garbage point,illegal dumping,public land,4.02,,,Dumping done at night,,Dumping done at night
-1.2236412,36.8824748,Roysambu,Roysambu,garbage point,bin,private,5.575,,,,,
-1.2234446,36.8828897,Roysambu,Roysambu,garbage point,collection point,private,4.863,,,,,
-1.2233499,36.8826284,Roysambu,Roysambu,garbage point,illegal dumping,private,4.672,,,,,
-1.2233018,36.8822765,Roysambu,Roysambu,garbage point,bin,private,3.857,,,,,
-1.2232996,36.8822822,Roysambu,Roysambu,garbage point,bin,private,2.875,,,well maintained,,well maintained
-1.2232815,36.8822966,Kasarani,Kasarani,garbage point,bin,private,4.916,,,,,
-1.2232344,36.8822696,Roysambu,Roysambu,garbage point,illegal dumping,private,4.483,,,,,
-1.2232196,36.8835177,Roysambu,Roysambu,garbage point,collection point,private,12.292,,,,,
-1.2231786,36.8830954,Roysambu,Roysambu,garbage point,bin,private,4.803,,,strategically located,,strategically located
-1.2231541,36.88303,Roysambu,Roysambu,garbage point,holding ground,private,4.633,,,,,
-1.22315,36.8831891,Roysambu,Roysambu,garbage point,holding ground,private,4.52,,,,,
-1.2231262,36.8837076,Roysambu,Roysambu,garbage point,bin,private,4.4,,,,,
-1.2231167,36.88311,Kibra,Makina,garbage point,collection point,private,4.4,,,bin,,bin
-1.2230937,36.8830356,Roysambu,Roysambu,garbage point,bin,private,4.8,,,well maintained,,well maintained
-1.2230835,36.8840197,Lang'ata,South C,garbage point,collection point,private,4.016,,,bin,,bin
-1.2230407,36.884206,Roysambu,Kahawa,garbage point,holding ground,private,4.833,,,to clear the site,,to clear the site
-1.2230395,36.8823278,Roysambu,Roysambu,garbage point,bin,private,4.585,,,,,
-1.223039,36.8831812,Roysambu,Roysambu,garbage point,bin,private,4.85,,,privately owned,,privately owned
-1.2230384,36.8823916,Dagoretti North,Kilimani,garbage point,collection point,private,4.4,,,Bin,,Bin
-1.2230268,36.8841709,Ruaraka,Babadogo,garbage point,illegal dumping,community,4.814,,,stop with immediate effect,,stop with immediate effect
-1.2230223,36.8834122,Roysambu,Roysambu,garbage point,holding ground,private,4.475,,,,,
-1.223022,36.8830507,Kasarani,Clay City,garbage point,collection point,private,4.16,,,The design is good since it's waterproof.,,The design is good since it's waterproof.
-1.2229891,36.8832382,Roysambu,Roysambu,garbage point,holding ground,private,4.908,,,,,
-1.2229858,36.8833376,Kasarani,Kasarani,garbage point,bin,private,4.742,,,,,
-1.2229626,36.8833639,Embakasi West,Kariobangi,garbage point,collection point,private,1.191,,,,,
-1.222952,36.8834222,Lang'ata,Nyayo Highrise,garbage point,other,private,1.478,Manholes,,needs maintainance,,needs maintainance
-1.2229513,36.8840277,Kibra,Woodley/Kenyatta Golf Course,garbage point,holding ground,public land,4.884,,,no water point used,,no water point used
-1.2229507,36.8834351,Roysambu,Roysambu,garbage point,holding ground,public land,5.177,,,,,
-1.2229504,36.8826245,Roysambu,Roysambu,garbage point,other,private,38.244,Septic tank,,,,
-1.2229497,36.8833921,Makadara,Maringo/ Hamza,garbage point,holding ground,public land,4.566,,,,,
-1.222946,36.8823525,Roysambu,Roysambu,garbage point,bin,private,3.35,,,,,
-1.2229407,36.8840775,Lang'ata,Mugumo-ini,garbage point,holding ground,public land,4.82,,,found in a residential area,,found in a residential area
-1.2229359,36.8832132,Roysambu,Roysambu,garbage point,holding ground,private,10.075,,,,,
-1.222935,36.8841392,Lang'ata,Nyayo Highrise,garbage point,collection point,private,4.94,,,needs collection,,needs collection
-1.2229339,36.883461,Roysambu,Roysambu,garbage point,collection point,public land,4.865,,,,,
-1.2229337,36.8834889,Roysambu,Roysambu,garbage point,holding ground,public land,4.363,,,,,
-1.2229237,36.88413,Kasarani,Ruai,garbage point,bin,public land,12.642,,,,,
-1.2229224,36.883226,Roysambu,Roysambu,garbage point,holding ground,public land,3.95,,,needs collection,,needs collection
-1.2229217,36.8823167,Roysambu,Roysambu,garbage point,bin,private,4.5,,,well maintained,,well maintained
-1.2229167,36.8841372,Embakasi East,Utawala,garbage point,illegal dumping,public land,20.0,,,Filthy smell,,Filthy smell
-1.2229159,36.8841798,Embakasi Central,Kayole South,garbage point,illegal dumping,public land,4.755,,,,,
-1.2229148,36.8823055,Kamukunji,Eastleigh North,garbage point,bin,private,4.592,,,,,
-1.2228923,36.8820761,Kasarani,Kasarani,garbage point,bin,private,3.178,,,The bin is artistic,,The bin is artistic
-1.2228921,36.8823804,Starehe,Pangani,garbage point,bin,private,3.1,,,,,
-1.2228703,36.8835249,Roysambu,Roysambu,garbage point,collection point,public land,4.78,,,,,
-1.2228701,36.8823655,Ruaraka,Babadogo,garbage point,bin,private,4.521,,,,,
-1.2228569,36.8823227,Roysambu,Roysambu,garbage point,bin,public land,4.8,,,,,
-1.2228555,36.8823834,Dagoretti South,Uthiru/Ruthimitu,garbage point,bin,private,4.75,,,,,
-1.2228443,36.8823428,Roysambu,Roysambu,garbage point,holding ground,community,4.865,,,the holding point should be cleared after every2 months to avoid spillages,,the holding point should be cleared after every2 months to avoid spillages
-1.222843,36.8823465,Roysambu,Roysambu,garbage point,bin,private,4.571,,,,,
-1.2228417,36.8824023,Roysambu,Roysambu,garbage point,bin,private,4.9,,,well maintained.,,well maintained.
-1.2228389,36.8841396,Embakasi South,Kware,garbage point,holding ground,public land,4.93,,,,,
-1.2228338,36.8818486,Embakasi East,Upper Savanna,garbage point,collection point,other,8.754,,,,,
-1.2228312,36.8824614,Kasarani,Kasarani,garbage point,collection point,private,4.933,,,,,
-1.2228287,36.8823906,Dagoretti North,Gatina,garbage point,bin,private,4.7,,,Okay,,Okay
-1.2228262,36.8827524,Roysambu,Roysambu,garbage point,collection point,private,4.8,,,need of a truck to collect garbage,,need of a truck to collect garbage
-1.2228204,36.8823599,Kamukunji,Airbase,garbage point,bin,private,4.9,,,,,
-1.2228144,36.881808,Kasarani,Njiru,garbage point,bin,private,4.417,,,Helps maintain the compound clean,,Helps maintain the compound clean
-1.2227945,36.8828327,Roysambu,Roysambu,garbage point,holding ground,public land,5.0,,,,,
-1.2227871,36.8827346,Roysambu,Roysambu,garbage point,collection point,public land,5.5,,,collection should be done regularly,,collection should be done regularly
-1.222781,36.8827659,Roysambu,Roysambu,garbage point,holding ground,private,4.48,,,,,
-1.2227601,36.8827259,Roysambu,Roysambu,garbage point,illegal dumping,community,7.106,,,,,
-1.2227564,36.8819295,Embakasi East,Upper Savanna,garbage point,holding ground,community,4.83,,,Needs comments,,Needs comments
-1.2227533,36.8823201,Lang'ata,Nyayo Highrise,garbage point,bin,private,1.036,,,needs collection,,needs collection
-1.22274,36.8827797,Roysambu,Roysambu,garbage point,collection point,private,4.683,,,well maintained,,well maintained
-1.2227363,36.8826213,Ruaraka,Mathare North,garbage point,bin,private,4.6,,,bin,,bin
-1.2227348,36.8826985,Roysambu,Roysambu,garbage point,collection point,private,4.383,,,,,
-1.2227331,36.8827113,Roysambu,Roysambu,garbage point,collection point,community,3.81,,,,,
-1.2227325,36.8823106,Roysambu,Roysambu,garbage point,bin,community,4.672,,,"it is emptied on a weekly basis 
","Emptied on a weekly basis 
","Emptied on a weekly basis 
 | it is emptied on a weekly basis 
"
-1.2227315,36.8827606,Roysambu,Githurai,garbage point,illegal dumping,community,4.9,,,bad,,bad
-1.2227176,36.8842618,Roysambu,Roysambu,garbage point,illegal dumping,public land,4.3,,,,,
-1.2227163,36.8840041,Roysambu,Roysambu,garbage point,holding ground,private,3.366,,,in a good condition,,in a good condition
-1.2227138,36.882639,Ruaraka,Korogocho,garbage point,bin,private,4.58,,,,,
-1.2227107,36.8818598,Embakasi East,Upper Savanna,garbage point,bin,public land,3.055,,,,,
-1.2227062,36.8826192,Kasarani,Kasarani,garbage point,bin,private,4.6,,,,,
-1.2226726,36.8824386,Roysambu,Roysambu,garbage point,illegal dumping,public land,2.998,,,clear and rehabilitate open spaces,,clear and rehabilitate open spaces
-1.2226708,36.8823029,Lang'ata,Nyayo Highrise,garbage point,collection point,private,6.596,,,needs collection,,needs collection
-1.2226654,36.8823125,Dagoretti North,Kawangware,garbage point,collection point,private,4.083,,,Well maintained,,Well maintained
-1.2226635,36.8840204,Roysambu,Roysambu,garbage point,bin,private,4.366,,,not in use,,not in use
-1.2226518,36.8840335,Roysambu,Roysambu,garbage point,collection point,public land,4.983,,,should be cleaned more often,,should be cleaned more often
-1.2226389,36.8825725,Ruaraka,Babadogo,garbage point,bin,private,4.502,,,,,
-1.2226101,36.8818972,Starehe,Pangani,garbage point,bin,private,4.85,,,,,
-1.2226089,36.8823018,Roysambu,Roysambu,garbage point,illegal dumping,public land,4.842,,,negative effects to the environment,,negative effects to the environment
-1.2226073,36.8823016,Makadara,Makongeni,garbage point,bin,community,4.139,,,On a junction of the entrance to the kubaya hall,,On a junction of the entrance to the kubaya hall
-1.2226057,36.8841806,Westlands,Parklands/Highridge,garbage point,collection point,private,4.9,,,There's need for frequent collection to avoid heaping of garbage.,,There's need for frequent collection to avoid heaping of garbage.
-1.2225691,36.8823639,Roysambu,Roysambu,garbage point,illegal dumping,public land,4.9,,,should be collected regularly to reduce heaping.,should be collected regularly to reduce heaping.,should be collected regularly to reduce heaping.
-1.2225661,36.8818254,Roysambu,Roysambu,garbage point,collection point,private,4.396,,,,,
-1.2225501,36.8822781,Starehe,Pangani,garbage point,bin,private,4.988,,,,,
-1.2225383,36.8819367,Dagoretti North,Kawangware,garbage point,bin,private,2.6,,,Very nice,,Very nice
-1.2225318,36.8819036,Roysambu,Roysambu,garbage point,bin,private,3.814,,,,,
-1.2225289,36.8821812,Lang'ata,Nyayo Highrise,garbage point,bin,private,0.738,,,needs cleaning,,needs cleaning
-1.2225233,36.882207,Dagoretti North,Kawangware,garbage point,bin,private,4.866,,,Good,,Good
-1.2225156,36.8821668,Lang'ata,Nyayo Highrise,garbage point,other,private,1.001,Drainage,,needs unblocking,,needs unblocking
-1.2225141,36.8819507,Embakasi Central,Kayole North,garbage point,bin,private,4.713,,,Well maintained,,Well maintained
-1.2225102,36.8818733,Makadara,Harambee,garbage point,holding ground,community,4.005,,,,,
-1.2224923,36.8822317,Ruaraka,Korogocho,garbage point,other,private,4.08,,,,,
-1.2224905,36.8825336,Roysambu,Roysambu,garbage point,illegal dumping,public land,4.828,,,clear and rehabilitate,,clear and rehabilitate
-1.2224879,36.8814542,Kasarani,Kasarani,garbage point,bin,private,8.985,,,,,
-1.2224706,36.8823952,Roysambu,Roysambu,garbage point,illegal dumping,private,1.303,,,,,
-1.2224502,36.881957,Dagoretti South,Uthiru/Ruthimitu,garbage point,bin,private,2.462,,,Strategically placed,,Strategically placed
-1.2224446,36.8819545,Makadara,Makongeni,garbage point,bin,community,4.068,,,,,
-1.2224438,36.8819768,Embakasi East,Mihang'o,garbage point,bin,private,4.983,,,,,
-1.2224366,36.8818641,Roysambu,Roysambu,garbage point,collection point,public land,4.741,,,,,
-1.2224323,36.8819536,Ruaraka,Babadogo,garbage point,bin,private,4.825,,,,,
-1.2224272,36.8822,Ruaraka,Babadogo,garbage point,other,private,4.288,Dump site,,,,
-1.2224117,36.8819907,Roysambu,Roysambu,garbage point,collection point,private,5.0,,,,,
